CODIGO ; NIVEL DE ACCESO ; NOMBRE ; CATEGORIA ; DESCRIPCION CORTA ; DESCRIPCION ; IMPORTE ; ACTIVO/EN VENTA ; NOMBRE ARCHIVO IMAGEN  ; NOMBRE SKU ; COLOR ; CODIGO DE BARRAS DE FORMATO ; LONGITUD ; ANCHO ; ALTO ; ABREVIACION DE UNIDAD DE MEDIDA DE LONGITUD ; ABREVIACION DE UNIDAD DE MEDIDA DE CANTIDAD ; NIVEL DE ACCESO DEL FORMATO ; ACTUALIZAR PAR√ÅMETROS ; ACTUALIZAR GALERIA IMAGENES DE PRODUCTO ; ACTUALIZAR GALERIA IMAGENES DE FORMATO
40814        ; 100 ; CojÌn Florida marrÛn           ; Mueble ;  ;  ; 0 ; 1 ;  ; 40814        ;  ; 8435406129727 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40815        ; 100 ; CojÌn Vans negro               ; Mueble ;  ;  ; 0 ; 1 ;  ; 40815        ;  ; 8435406129734 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40816        ; 100 ; CojÌn Vans morado              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40816        ;  ; 8435406129741 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40817        ; 100 ; CojÌn Londres beige            ; Mueble ;  ;  ; 0 ; 1 ;  ; 40817        ;  ; 8435406129758 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40818        ; 100 ; CojÌn Londres beige            ; Mueble ;  ;  ; 0 ; 1 ;  ; 40818        ;  ; 8435406129765 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40819        ; 100 ; CojÌn Londres antracita        ; Mueble ;  ;  ; 0 ; 1 ;  ; 40819        ;  ; 8435406129772 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40820        ; 100 ; CojÌn Londres antracita        ; Mueble ;  ;  ; 0 ; 1 ;  ; 40820        ;  ; 8435406129789 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40823        ; 100 ; CojÌn Londres marrÛn           ; Mueble ;  ;  ; 0 ; 1 ;  ; 40823        ;  ; 8435406129819 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40824        ; 100 ; CojÌn Londres marrÛn           ; Mueble ;  ;  ; 0 ; 1 ;  ; 40824        ;  ; 8435406129826 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40825        ; 100 ; CojÌn tafet·n lino             ; Mueble ;  ;  ; 0 ; 1 ;  ; 40825        ;  ; 8435406129833 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40826        ; 100 ; CojÌn tafet·n plata            ; Mueble ;  ;  ; 0 ; 1 ;  ; 40826        ;  ; 8435406129840 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40827        ; 100 ; CojÌn tafetan negro            ; Mueble ;  ;  ; 0 ; 1 ;  ; 40827        ;  ; 8435406129857 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40828        ; 100 ; CojÌn tafet·n cardenal         ; Mueble ;  ;  ; 0 ; 1 ;  ; 40828        ;  ; 8435406129864 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40829        ; 100 ; CojÌn tafet·n marrÛn           ; Mueble ;  ;  ; 0 ; 1 ;  ; 40829        ;  ; 8435406129871 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40830        ; 100 ; CojÌn b˙hos beige              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40830        ;  ; 8435406129888 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40831        ; 100 ; CojÌn b˙hos blanco             ; Mueble ;  ;  ; 0 ; 1 ;  ; 40831        ;  ; 8435406129895 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40832        ; 100 ; CojÌn Chelsea                  ; Mueble ;  ;  ; 0 ; 1 ;  ; 40832        ;  ; 8435406129901 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
